gbifID,countryCode,acceptedScientificName,specificEpithet,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet.1,infraspecificEpithet,cultivarEpithet,speciesKey,identifier
1826136443,,"Unio crassus Philipsson, 1788",decurvatus,Bivalvia,Unionida,,Unionidae,,,,Unio,Unio,,,decurvatus,,,4559558.0,https://data.nhm.ac.uk/media/098e41ad-5ce9-4f49-8408-4a35c38fc0ba
1826137696,,"Modiola Lamarck, 1801",,Bivalvia,Mytilida,,Mytilidae,,,,Modiola,Modiola,,,,,,,https://data.nhm.ac.uk/media/61dbefe0-3155-4fb7-865c-898b87bc3235
1826137899,,"Tellina Linnaeus, 1758",,Bivalvia,Cardiida,,Tellinidae,,,,Tellina,Tellina,,,,,,,https://data.nhm.ac.uk/media/c370dc1f-4859-445a-9f7a-020fcbaf5c99
1826138615,,"Anomia Linnaeus, 1758",,Bivalvia,Pectinida,,Anomiidae,,,,Anomia,Anomia,,,,,,,https://data.nhm.ac.uk/media/cf89529e-9d37-4264-9f2e-3d712ae58ac8
1826141647,,"Crassatella Lamarck, 1799",,Bivalvia,Carditida,,Crassatellidae,,,,Crassatella,Crassatella,,,,,,,https://data.nhm.ac.uk/media/d455323e-b2f8-4aaf-a8e4-13a966b75e03
1826143884,,"Astarte elliptica (T.Brown, 1827)",elliptica,Bivalvia,Carditida,,Astartidae,,,,Astarte,Astarte,,,elliptica,,,5189194.0,https://data.nhm.ac.uk/media/04bd13be-2667-40f6-a7c3-d7f2e8987f37
1826147914,,"Amphidesma Lamarck, 1818",,Bivalvia,Cardiida,,Semelidae,,,,Amphidesma,Amphidesma,,,,,,,https://data.nhm.ac.uk/media/a0f96d5d-05e5-42a6-8125-bf79874872ea
1826149502,,"Larkinia grandis (Broderip & G.B.Sowerby I, 1829)",grandis,Bivalvia,Arcida,,Arcidae,,,,Larkinia,Arca,,,grandis,,,6529601.0,https://data.nhm.ac.uk/media/e85ee794-9032-4a56-a848-035d33f13f71
1826152819,,"Nucula Lamarck, 1799",,Bivalvia,Nuculida,,Nuculidae,,,,Nucula,Nucula,,,,,,,https://data.nhm.ac.uk/media/a02d8c33-6360-42ba-b01c-a03edb23c75e
1826157209,,"Corbula Bruguière, 1797",,Bivalvia,Myida,,Corbulidae,,,,Corbula,Corbula,,,,,,,https://data.nhm.ac.uk/media/323f152e-ae26-480a-b64f-ae63992aec77
1826160850,,"Pholas Linnaeus, 1758",,Bivalvia,Myida,,Pholadidae,,,,Pholas,Pholas,,,,,,,https://data.nhm.ac.uk/media/33ae603a-9f27-4642-90ce-0b6698b56ce3
1826162459,,"Trapezium Megerle von Mühlfeld, 1811",,Bivalvia,Venerida,,Trapezidae,,,,Trapezium,Cypricardia,,,,,,,https://data.nhm.ac.uk/media/6ae1cbb6-fc79-400a-83d3-1708aa9094e9
1826165683,,"Tellina radiata Linnaeus, 1758",radiata,Bivalvia,Cardiida,,Tellinidae,,,,Tellina,Tellina,,,radiata,,,2286929.0,https://data.nhm.ac.uk/media/cb2452d4-be4b-4c25-bcc4-33e548ac3f23
1826166714,NZ,"Gari Schumacher, 1817",,Bivalvia,Cardiida,,Psammobiidae,,,,Gari,Psammobia,,,,,,,https://data.nhm.ac.uk/media/54d02fb4-2926-46b3-ac45-4d19bbc2ae83
1826167145,MZ,"Corbicula Megerle von Mühlfeld, 1811",,Bivalvia,Venerida,,Cyrenidae,,,,Corbicula,Corbicula,,,,,,,https://data.nhm.ac.uk/media/de43c821-7e2a-48ad-ae90-f201dd2f27bf
1826172600,,"Arca Linnaeus, 1758",,Bivalvia,Arcida,,Arcidae,,,,Arca,Arca,,,,,,,https://data.nhm.ac.uk/media/3a8f2ae0-96d6-4510-a0d5-15ed72fb4266
1826176513,,"Tellina Linnaeus, 1758",,Bivalvia,Cardiida,,Tellinidae,,,,Tellina,Tellina,,,,,,,https://data.nhm.ac.uk/media/8d119a49-8743-430b-9241-69e83ef365d0
1826177357,MG,"Cardium Linnaeus, 1758",,Bivalvia,Cardiida,,Cardiidae,,,,Cardium,Cardium,,,,,,,https://data.nhm.ac.uk/media/d8da411b-4abe-49e3-8f89-05fe1b214e9a
1826185226,,"Limaria loscombi (G.B.Sowerby I, 1823)",loscombi,Bivalvia,Limida,,Limidae,,,,Limaria,Lima,,,loscombi,,,5189500.0,https://data.nhm.ac.uk/media/a4c3f1b1-3212-4aa7-8698-8e40d2da774e
1826185414,,"Tellina Linnaeus, 1758",,Bivalvia,Cardiida,,Tellinidae,,,,Tellina,Tellina,,,,,,,https://data.nhm.ac.uk/media/cc5ab063-362b-456e-b4d5-9d538b87bbb6
1826196191,,"Unio Philipsson, 1788",,Bivalvia,Unionida,,Unionidae,,,,Unio,Unio,,,,,,,https://data.nhm.ac.uk/media/2cae8c08-96eb-4948-9e86-2bf4be9f4694
1826206480,,"Dosinia Scopoli, 1777",,Bivalvia,Venerida,,Veneridae,,,,Dosinia,Dosinia,,,,,,,https://data.nhm.ac.uk/media/4f349563-49dc-4c68-8562-31c2d623431c
1826208614,,"Kellia W.Turton, 1822",,Bivalvia,Galeommatida,,Lasaeidae,,,,Kellia,Kellia,,,,,,,https://data.nhm.ac.uk/media/efd216df-acd0-4418-816e-17bbfb1b49c5
1826224357,,"Modiolus americanus Leach, 1815",tulipa,Bivalvia,Mytilida,,Mytilidae,,,,Modiolus,Modiola,,,tulipa,,,2285652.0,https://data.nhm.ac.uk/media/a092cb30-25bb-49fb-b1cf-7f0de7e9022f
1826224528,IN,"Corbicula Megerle von Mühlfeld, 1811",,Bivalvia,Venerida,,Cyrenidae,,,,Corbicula,Corbicula,,,,,,,https://data.nhm.ac.uk/media/fee83cc0-99e2-49d9-bbac-8281aeec6cc5
1826228920,,"Venus verrucosa Linnaeus, 1758",verrucosa,Bivalvia,Venerida,,Veneridae,,,,Venus,Venus,,,verrucosa,,,2287777.0,https://data.nhm.ac.uk/media/87387bdf-2083-4f2c-9f44-fbb6d9e5b888
1826230077,,"Gafrarium pectinatum (Linnaeus, 1758)",pectinata,Bivalvia,Venerida,,Veneridae,,,,Gafrarium,Circe,,,pectinata,,,4372803.0,https://data.nhm.ac.uk/media/8d53dc29-e03d-415f-b7b3-a6d741c181a8
1056202088,HU,"Congeria zsigmondyi Halaváts, 1882",zsigmondyi,Bivalvia,Myida,,Dreissenidae,,,,Congeria,Congeria,,,zsigmondyi,,,11133479.0,https://data.nhm.ac.uk/media/6a0802e8-ce93-4231-8d57-c107bf193e78
1056272071,PT,"Myophorella lusitanica (Sharpe, 1850)",lusitanica,Bivalvia,Trigoniida,,Myophorellidae,,,,Myophorella,Myophorella,,,lusitanica,,,11112342.0,https://data.nhm.ac.uk/media/14c6c3b5-4648-4b74-8753-da3b2d4b202d
1056326888,GB,"Panopea intermedia (J.Sowerby, 1814)",intermedia,Bivalvia,Adapedonta,,Hiatellidae,,,,Panopea,Panopea,,,intermedia,,,5793668.0,https://data.nhm.ac.uk/media/8cd14e1f-a235-4bff-8065-11d55fc03f56
1056667616,GB,"Solen affinis J.Sowerby, 1812",affinis,Bivalvia,Adapedonta,,Solenidae,,,,Solen,Cultellus,,,affinis,,,9574880.0,https://data.nhm.ac.uk/media/2e21627a-8e8c-450a-89bc-68e93341ae9a
1056162382,GB,"Pitar Römer, 1857",,Bivalvia,Venerida,,Veneridae,,,,Pitar,Pitar,,,,,,,https://data.nhm.ac.uk/media/d2a25525-385a-4d4e-ad77-ebe2299daf78
1057612458,PT,"Pachytraga tubiconcha Astre, 1961",tubiconcha,Bivalvia,Hippuritida,,Caprinidae,,,,Pachytraga,Pachytraga,,,tubiconcha,,,9702556.0,https://data.nhm.ac.uk/media/660fc04b-a2f3-46de-8a33-3c48ec33051d
1057032535,,"Brachidontes rodriguezii (d'Orbigny, 1842)",rodriguezii,Bivalvia,Mytilida,,Mytilidae,,,,Brachidontes,Mytilus,,,rodriguezii,,,6531528.0,https://data.nhm.ac.uk/media/2931915c-ac57-4f9d-a37a-5f9936c55737
1057032535,,"Brachidontes rodriguezii (d'Orbigny, 1842)",rodriguezii,Bivalvia,Mytilida,,Mytilidae,,,,Brachidontes,Mytilus,,,rodriguezii,,,6531528.0,https://data.nhm.ac.uk/media/1b5c6b60-13dc-439a-8636-5bc3e33a5ea7
1056289481,,"Lucinoma bermudensis (Dall, 1901)",lenticula,Bivalvia,Lucinida,,Lucinidae,,,,Lucinoma,Lucina,,,lenticula,,,9492624.0,https://data.nhm.ac.uk/media/627dba17-496b-4374-acc8-07eb492279ad
1056713798,,"Yoldiella valettei (E.Lamy, 1906)",valettei,Bivalvia,Nuculanida,,Yoldiidae,,,,Yoldiella,Yoldiella,,,valettei,,,4374798.0,https://data.nhm.ac.uk/media/8231bbc9-15f2-4a56-8d8a-c731cac5f17a
1055798336,,"Retrotapes exalbidus (Dillwyn, 1817)",exalbida,Bivalvia,Venerida,,Veneridae,,,,Retrotapes,Eurhomalea,,,exalbida,,,6525296.0,https://data.nhm.ac.uk/media/ac037f72-e578-47b6-920b-fb26055fbada
1057287849,,"Theliderma sparsa (I.Lea, 1841)",sparsus,Bivalvia,Unionida,,Unionidae,,,,Theliderma,Unio,,,sparsus,,,5782385.0,https://data.nhm.ac.uk/media/9e3ccb86-0e8f-45ec-aec0-03f8514031e4
1056537740,,"Entodesma brevifrons (G.B.Sowerby I, 1834)",brevifrons,Bivalvia,,,Lyonsiidae,,,,Entodesma,Lyonsia,,,brevifrons,,,6522652.0,https://data.nhm.ac.uk/media/f749bc11-862c-45cf-93a0-87c4dcea702e
1055842364,,"Scintilla dubia (Deshayes, 1856)",dubia,Bivalvia,Galeommatida,,Galeommatidae,,,,Scintilla,Erycina,,,dubia,,,6788578.0,https://data.nhm.ac.uk/media/62b0e3a4-af21-4805-a856-60d00ecba9be
1055850534,SC,"Codakia tigerina (Linnaeus, 1758)",tigerina,Bivalvia,Lucinida,,Lucinidae,,,,Codakia,Codakia,,,tigerina,,,4372957.0,https://data.nhm.ac.uk/media/48e14af3-68fd-4917-89a3-7b6889e277ac
1055805948,CY,"Barbatia barbata (Linnaeus, 1758)",barbata,Bivalvia,Arcida,,Arcidae,,,,Barbatia,Barbatia,,,barbata,,,4373234.0,https://data.nhm.ac.uk/media/4a87c896-44f4-49d8-b6d0-c88e091332d2
1055612409,,"Glycymeris glycymeris (Linnaeus, 1758)",glycymeris,Bivalvia,Arcida,,Glycymerididae,,,,Glycymeris,Glycymeris,,,glycymeris,,,2286266.0,https://data.nhm.ac.uk/media/45677961-99a9-4c1c-b157-f676ec56b136
1055692164,EG,"Anadara natalensis (Krauss, 1848)",natalensis,Bivalvia,Arcida,,Arcidae,,,,Anadara,Arca,,,natalensis,,,5729462.0,https://data.nhm.ac.uk/media/3955fc12-93c2-45b5-b6f0-0b8f9d9c7697
